"RK_name","RK_PK","RK_TM","RK_PLAYER","RK_COLLEGE","RK_YRS","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK_THREE_P","RK_FT","RK_WS","RK_WS_","RK_BPM","RK_VORP"
"46","46","WAS","Jordan Clarkson","Missouri","6","453","27.0","14.8","3.1","2.6",".446",".342",".818","13.9",".055","-0.7","3.9"
"47","47","PHI","Russ Smith","Louisville","2","27","4.9","2.0","0.6","0.7",".319",".188",".769","-0.2","-.068","-5.1","-0.1"
"48","48","MIL","Lamar Patterson","Pitt","2","40","10.9","2.3","1.4","1.1",".326",".236",".720","0.1",".006","-5.7","-0.4"
"49","49","CHI","Cameron Bairstow","New Mexico","2","36","4.6","1.2","1.0","0.2",".296",".200",".846","-0.1","-.021","-8.1","-0.3"
"50","50","PHO","Alec Brown","Green Bay","","","","","","","","","","","","",""
"51","51","NYK","Thanasis Antetokounmpo","","2","22","6.1","2.8","1.1","0.7",".519",".000",".412","0.2",".080","-2.8","0.0"
"52","52","PHI","Vasilije Micić","","","","","","","","","","","","","",""
"53","53","MIN","Alessandro Gentile","","","","","","","","","","","","","",""
"54","54","PHI","Nemanja Dangubić","","","","","","","","","","","","","",""
"55","55","MIA","Semaj Christon","Xavier","1","64","15.2","2.9","1.4","2.0",".345",".190",".548","0.1",".006","-5.1","-0.8"
"56","56","DEN","Devyn Marble","Iowa","2","44","10.4","2.2","1.6","0.7",".304",".222",".375","-0.3","-.028","-5.5","-0.4"
"57","57","IND","Louis Labeyrie","","","","","","","","","","","","","",""
"58","58","SAS","Jordan McRae","Tennessee","4","123","13.8","6.9","1.8","1.4",".417",".355",".772","1.7",".048","-2.1","0.0"
"59","59","TOR","Xavier Thames","San Diego State","","","","","","","","","","","","",""
"60","60","SAS","Cory Jefferson","Baylor","2","58","10.0","3.5","2.8","0.3",".444",".125",".583","0.9",".071","-3.3","-0.2"
